Initiale Temperature,Cooling Rate,NB Iterations,NB Iterations cooling,average %,min result,nb opt,average execution time (s)
10764.357373147166,0.98,50000,5,40.811,9723,0,0.6237
10764.357373147166,0.99,50000,5,67.951,11597,0,0.6957
12624.998392741045,0.6,50000,5,48.907,10282,0,0.7305
12624.998392741045,0.7,50000,5,73.295,11966,0,0.6867
12624.998392741045,0.75,50000,5,73.251,11963,0,0.7169
12624.998392741045,0.8,50000,5,55.119,10711,0,0.7021
12624.998392741045,0.85,50000,5,40.145,9677,0,0.7077
12624.998392741045,0.9,50000,5,66.879,11523,0,0.6774
12624.998392741045,0.91,50000,5,57.147,10851,0,0.6838
12624.998392741045,0.92,50000,5,62.940,11251,0,0.6676
12624.998392741045,0.93,50000,5,51.716,10476,0,0.6526
12624.998392741045,0.94,50000,5,53.758,10617,0,0.6500
12624.998392741045,0.95,50000,5,52.469,10528,0,0.6341
12624.998392741045,0.96,50000,5,52.266,10514,0,0.6184
12624.998392741045,0.97,50000,5,72.657,11922,0,0.6261
12624.998392741045,0.98,50000,5,63.722,11305,0,0.6405
12624.998392741045,0.99,50000,5,59.363,11004,0,0.6366
15229.61006537841,0.6,50000,5,52.846,10554,0,0.8012
15229.61006537841,0.7,50000,5,54.048,10637,0,0.7209
15229.61006537841,0.75,50000,5,53.917,10628,0,0.7004
15229.61006537841,0.8,50000,5,67.314,11553,0,0.6942
15229.61006537841,0.85,50000,5,63.447,11286,0,0.7396
15229.61006537841,0.9,50000,5,56.307,10793,0,0.6508
15229.61006537841,0.91,50000,5,61.115,11125,0,0.6529
15229.61006537841,0.92,50000,5,59.203,10993,0,0.6499
15229.61006537841,0.93,50000,5,61.665,11163,0,0.6191
15229.61006537841,0.94,50000,5,57.726,10891,0,0.6643
15229.61006537841,0.95,50000,5,54.323,10656,0,0.6438
15229.61006537841,0.96,50000,5,46.560,10120,0,0.8171
15229.61006537841,0.97,50000,5,46.966,10148,0,0.6692
15229.61006537841,0.98,50000,5,51.760,10479,0,0.6716
15229.61006537841,0.99,50000,5,49.225,10304,0,0.6230
19136.176016667974,0.6,50000,5,45.301,10033,0,0.7533
19136.176016667974,0.7,50000,5,49.718,10338,0,0.7695
19136.176016667974,0.75,50000,5,25.923,8695,0,0.7275
19136.176016667974,0.8,50000,5,45.749,10064,0,0.7174
19136.176016667974,0.85,50000,5,58.552,10948,0,0.7454
19136.176016667974,0.9,50000,5,74.048,12018,0,0.6943
19136.176016667974,0.91,50000,5,70.673,11785,0,0.6625
19136.176016667974,0.92,50000,5,64.446,11355,0,0.6571
19136.176016667974,0.93,50000,5,61.970,11184,0,0.6648
19136.176016667974,0.94,50000,5,45.576,10052,0,0.6204
19136.176016667974,0.95,50000,5,52.484,10529,0,0.6299
19136.176016667974,0.96,50000,5,55.554,10741,0,0.6444
19136.176016667974,0.97,50000,5,60.434,11078,0,0.6235
19136.176016667974,0.98,50000,5,47.690,10198,0,0.6260
19136.176016667974,0.99,50000,5,41.781,9790,0,0.6194
25646.657841745633,0.6,50000,5,54.989,10702,0,0.7162
25646.657841745633,0.7,50000,5,59.232,10995,0,0.7131
25646.657841745633,0.75,50000,5,46.763,10134,0,0.7521
25646.657841745633,0.8,50000,5,61.593,11158,0,0.7350
25646.657841745633,0.85,50000,5,49.109,10296,0,0.7102
25646.657841745633,0.9,50000,5,69.790,11724,0,0.6761
25646.657841745633,0.91,50000,5,47.067,10155,0,0.6662
25646.657841745633,0.92,50000,5,61.521,11153,0,0.6679
25646.657841745633,0.93,50000,5,36.727,9441,0,0.6657
25646.657841745633,0.94,50000,5,64.707,11373,0,0.6341
25646.657841745633,0.95,50000,5,67.314,11553,0,0.6511
25646.657841745633,0.96,50000,5,56.206,10786,0,0.6492
25646.657841745633,0.97,50000,5,59.537,11016,0,0.6498
25646.657841745633,0.98,50000,5,41.274,9755,0,0.6234
25646.657841745633,0.99,50000,5,39.580,9638,0,0.6526
38666.940039943765,0.6,50000,5,42.028,9807,0,0.7207
38666.940039943765,0.7,50000,5,52.266,10514,0,0.7494
38666.940039943765,0.75,50000,5,53.193,10578,0,0.7347
38666.940039943765,0.8,50000,5,52.107,10503,0,0.6848
38666.940039943765,0.85,50000,5,46.836,10139,0,0.7156
38666.940039943765,0.9,50000,5,58.523,10946,0,0.7025
38666.940039943765,0.91,50000,5,44.113,9951,0,0.6496
38666.940039943765,0.92,50000,5,53.599,10606,0,0.6509
38666.940039943765,0.93,50000,5,62.303,11207,0,0.6360
38666.940039943765,0.94,50000,5,41.492,9770,0,0.6802
38666.940039943765,0.95,50000,5,45.865,10072,0,0.6204
38666.940039943765,0.96,50000,5,45.301,10033,0,0.6338
38666.940039943765,0.97,50000,5,54.786,10688,0,0.6491
38666.940039943765,0.98,50000,5,20.883,8347,0,0.6188
38666.940039943765,0.99,50000,5,60.753,11100,0,0.6164
77726.44455646754,0.6,50000,5,62.549,11224,0,0.7739
77726.44455646754,0.7,50000,5,64.475,11357,0,0.7496
77726.44455646754,0.75,50000,5,46.213,10096,0,0.7039
