Initiale Temperature,Cooling Rate,NB Iterations,NB Iterations cooling,average %,min result,nb opt,average execution time (s)
21971.68291599408,0.97,50000,5,53.874,10625,0,0.6273
21971.68291599408,0.98,50000,5,40.319,9689,0,0.6334
21971.68291599408,0.99,50000,5,42.172,9817,0,0.6130
27607.666240825205,0.6,50000,5,66.821,11519,0,0.6951
27607.666240825205,0.7,50000,5,55.148,10713,0,0.7240
27607.666240825205,0.75,50000,5,60.536,11085,0,0.6813
27607.666240825205,0.8,50000,5,69.080,11675,0,0.6889
27607.666240825205,0.85,50000,5,48.269,10238,0,0.6563
27607.666240825205,0.9,50000,5,46.749,10133,0,0.6415
27607.666240825205,0.91,50000,5,52.078,10501,0,0.6545
27607.666240825205,0.92,50000,5,47.140,10160,0,0.6339
27607.666240825205,0.93,50000,5,50.659,10403,0,0.6149
27607.666240825205,0.94,50000,5,57.118,10849,0,0.6085
27607.666240825205,0.95,50000,5,69.964,11736,0,0.6121
27607.666240825205,0.96,50000,5,49.182,10301,0,0.6103
27607.666240825205,0.97,50000,5,71.427,11837,0,0.6216
27607.666240825205,0.98,50000,5,63.201,11269,0,0.6096
27607.666240825205,0.99,50000,5,46.575,10121,0,0.6160
37000.306083662465,0.6,50000,5,58.103,10917,0,0.7054
37000.306083662465,0.7,50000,5,56.684,10819,0,0.6865
37000.306083662465,0.75,50000,5,44.200,9957,0,0.6876
37000.306083662465,0.8,50000,5,40.434,9697,0,0.6804
37000.306083662465,0.85,50000,5,59.464,11011,0,0.6711
37000.306083662465,0.9,50000,5,64.504,11359,0,0.6604
37000.306083662465,0.91,50000,5,47.096,10157,0,0.6355
37000.306083662465,0.92,50000,5,47.024,10152,0,0.6404
37000.306083662465,0.93,50000,5,40.275,9686,0,0.6124
37000.306083662465,0.94,50000,5,63.070,11260,0,0.6251
37000.306083662465,0.95,50000,5,45.778,10066,0,0.6224
37000.306083662465,0.96,50000,5,70.920,11802,0,0.6412
37000.306083662465,0.97,50000,5,62.969,11253,0,0.6130
37000.306083662465,0.98,50000,5,39.059,9602,0,0.6218
37000.306083662465,0.99,50000,5,49.862,10348,0,0.6135
55784.60264197777,0.6,50000,5,58.421,10939,0,0.6925
55784.60264197777,0.7,50000,5,45.431,10042,0,0.7047
55784.60264197777,0.75,50000,5,62.781,11240,0,0.6924
55784.60264197777,0.8,50000,5,51.861,10486,0,0.6876
55784.60264197777,0.85,50000,5,38.378,9555,0,0.6733
55784.60264197777,0.9,50000,5,54.917,10697,0,0.6530
55784.60264197777,0.91,50000,5,24.823,8619,0,0.6270
55784.60264197777,0.92,50000,5,44.258,9961,0,0.6416
55784.60264197777,0.93,50000,5,59.957,11045,0,0.6326
55784.60264197777,0.94,50000,5,63.143,11265,0,0.5992
55784.60264197777,0.95,50000,5,54.236,10650,0,0.6098
55784.60264197777,0.96,50000,5,51.571,10466,0,0.6135
55784.60264197777,0.97,50000,5,54.178,10646,0,0.6093
55784.60264197777,0.98,50000,5,46.054,10085,0,0.6227
55784.60264197777,0.99,50000,5,36.452,9422,0,0.6157
112135.55610754668,0.6,50000,5,51.542,10464,0,0.7058
112135.55610754668,0.7,50000,5,70.760,11791,0,0.6926
112135.55610754668,0.75,50000,5,56.510,10807,0,0.6912
112135.55610754668,0.8,50000,5,58.841,10968,0,0.6705
112135.55610754668,0.85,50000,5,47.777,10204,0,0.6691
112135.55610754668,0.9,50000,5,70.239,11755,0,0.6402
112135.55610754668,0.91,50000,5,59.696,11027,0,0.6451
112135.55610754668,0.92,50000,5,49.602,10330,0,0.6280
112135.55610754668,0.93,50000,5,48.197,10233,0,0.6318
112135.55610754668,0.94,50000,5,67.806,11587,0,0.6313
112135.55610754668,0.95,50000,5,58.639,10954,0,0.6296
112135.55610754668,0.96,50000,5,53.497,10599,0,0.6135
112135.55610754668,0.97,50000,5,60.420,11077,0,0.6166
112135.55610754668,0.98,50000,5,53.700,10613,0,0.6119
112135.55610754668,0.99,50000,5,61.318,11139,0,0.6114
