Initiale Temperature,Cooling Rate,NB Iterations,NB Iterations cooling,average %,min result,nb opt,average execution time (s)
13000,0.75,10000,10,44.446,9974,0,9.0802
13000,0.95,10000,10,59.175,10991,0,9.0619
14000,0.9,10000,10,45.301,10033,0,9.1743
14000,0.8,10000,10,53.686,10612,0,9.2328
14000,0.85,10000,10,59.218,10994,0,9.3483
14000,0.7,10000,10,43.302,9895,0,10.0662
14000,0.75,10000,10,33.483,9217,0,9.5863
14000,0.95,10000,10,49.949,10354,0,9.8395
15000,0.9,10000,10,49.631,10332,0,9.5790
15000,0.8,10000,10,67.806,11587,0,9.5016
15000,0.85,10000,10,65.749,11445,0,9.5949
15000,0.7,10000,10,60.825,11105,0,9.8266
15000,0.75,10000,10,50.239,10374,0,9.8167
15000,0.95,10000,10,44.794,9998,0,9.8641
